,prop,subevent,role,causation,MRR,H@1,H@3,H@10,exp_count,syntax,method,td
220,0,0,0,0,0.231913,0.2,0.2,0.3,83,simple_rdf_prop,ULTRA,simple-triple
384,1,0,0,0,0.704447,0.666667,0.733333,0.733333,83,simple_rdf_prop,ULTRA,simple-triple
576,1,1,0,0,0.684231,0.65,0.71,0.735,43,simple_rdf_prop,ULTRA,simple-triple
577,1,1,0,1,0.352763,0.302174,0.367391,0.445652,129,simple_rdf_prop,ULTRA,simple-triple
737,0,0,0,1,0.247364,0.217054,0.24031,0.296512,248,simple_rdf_reification,ULTRA,simple-triple
891,1,0,0,1,0.310958,0.275194,0.312016,0.356589,249,simple_rdf_reification,ULTRA,simple-triple
998,0,1,0,0,0.222564,0.183673,0.22449,0.270408,83,simple_rdf_prop,ULTRA,simple-triple
1121,0,0,1,0,0.23779,0.221759,0.239831,0.268163,9,simple_rdf_reification,ULTRA,simple-triple
1122,0,1,1,1,0.0501921,0.0296446,0.0511873,0.0822879,6,simple_rdf_sp,ULTRA,simple-triple
1123,1,1,1,1,0.045568,0.0297185,0.0481217,0.0710055,6,simple_rdf_sp,ULTRA,simple-triple
1127,0,1,0,1,0.237883,0.212191,0.243056,0.282407,249,simple_rdf_reification,ULTRA,simple-triple
1129,1,0,1,1,0.251605,0.239733,0.253148,0.273711,9,simple_rdf_reification,ULTRA,simple-triple
1130,1,1,1,0,0.0456229,0.0296053,0.0474806,0.0724449,6,simple_rdf_sp,ULTRA,simple-triple
1133,0,0,1,1,0.236613,0.220725,0.238459,0.266314,9,simple_rdf_reification,ULTRA,simple-triple
1151,0,1,1,0,0.0504302,0.0296981,0.0512075,0.0838491,6,simple_rdf_sp,ULTRA,simple-triple
1153,1,0,1,0,0.251176,0.239558,0.25276,0.272226,8,simple_rdf_reification,ULTRA,simple-triple
