,prop,subevent,role,causation,MRR,delta_MRR,H@1,delta_H@1,H@3,delta_H@3,H@10,delta_H@10
220,0,0,0,0,0.23,0.0,0.2,0.0,0.2,0.0,0.3,0.0
737,0,0,0,1,0.25,0.02,0.22,0.02,0.24,0.04,0.3,-0.0
1121,0,0,1,0,0.24,0.01,0.22,0.02,0.24,0.04,0.27,-0.03
1133,0,0,1,1,0.24,0.0,0.22,0.02,0.24,0.04,0.27,-0.03
998,0,1,0,0,0.22,-0.01,0.18,-0.02,0.22,0.02,0.27,-0.03
1127,0,1,0,1,0.24,0.01,0.21,0.01,0.24,0.04,0.28,-0.02
1151,0,1,1,0,0.05,-0.18,0.03,-0.17,0.05,-0.15,0.08,-0.22
1122,0,1,1,1,0.05,-0.18,0.03,-0.17,0.05,-0.15,0.08,-0.22
384,1,0,0,0,0.7,0.47,0.67,0.47,0.73,0.53,0.73,0.43
891,1,0,0,1,0.31,0.08,0.28,0.08,0.31,0.11,0.36,0.06
1153,1,0,1,0,0.25,0.02,0.24,0.04,0.25,0.05,0.27,-0.03
1129,1,0,1,1,0.25,0.02,0.24,0.04,0.25,0.05,0.27,-0.03
576,1,1,0,0,0.68,0.45,0.65,0.45,0.71,0.51,0.74,0.44
577,1,1,0,1,0.35,0.12,0.3,0.1,0.37,0.17,0.45,0.15
1130,1,1,1,0,0.05,-0.19,0.03,-0.17,0.05,-0.15,0.07,-0.23
1123,1,1,1,1,0.05,-0.19,0.03,-0.17,0.05,-0.15,0.07,-0.23
